Path,FileName,EN,DE,,
/SYSTEM,trainko,NOT_AVAILABLE,SchÃ_lersignal verloren,,
/SYSTEM,trainok,NOT_AVAILABLE,SchÃ_lersignal wiederhergestellt,,
/SYSTEM,134,NOT_AVAILABLE,Uhr,,
/SYSTEM,135,NOT_AVAILABLE,Uhr,,
/SYSTEM,136,NOT_AVAILABLE,Sender,,
/SYSTEM,137,NOT_AVAILABLE,Empfang,,
/SYSTEM,138,NOT_AVAILABLE,A1,,
/SYSTEM,139,NOT_AVAILABLE,A2,,
/SYSTEM,140,NOT_AVAILABLE,Hoehe,,
/SYSTEM,141,NOT_AVAILABLE,Motor,,
/SYSTEM,142,NOT_AVAILABLE,Treibstoff,,
/SYSTEM,143,NOT_AVAILABLE,Temperatur,,
/SYSTEM,144,NOT_AVAILABLE,Temperatur,,
/SYSTEM,145,NOT_AVAILABLE,Geschwindigkeit,,
/SYSTEM,146,NOT_AVAILABLE,Entfernung,,
/SYSTEM,147,NOT_AVAILABLE,HÃ¶he,,
/SYSTEM,148,NOT_AVAILABLE,Lipo-Zelle,,
/SYSTEM,149,NOT_AVAILABLE,Zellen gesamt,,
/SYSTEM,150,NOT_AVAILABLE,Spannung,,
/SYSTEM,151,NOT_AVAILABLE,Strom,,
/SYSTEM,152,NOT_AVAILABLE,Verbrauch,,
/SYSTEM,153,NOT_AVAILABLE,Power,,
/SYSTEM,154,NOT_AVAILABLE,Beschleunigung X,,
/SYSTEM,155,NOT_AVAILABLE,Beschleunigung Y,,
/SYSTEM,156,NOT_AVAILABLE,Beschleunigung Z,,
/SYSTEM,157,NOT_AVAILABLE,Richtung,,
/SYSTEM,158,NOT_AVAILABLE,Variometer,,
/SYSTEM,159,NOT_AVAILABLE,Minimum,,
/SYSTEM,160,NOT_AVAILABLE,Maximum,,
/SYSTEM,167,point zero,NOT_AVAILABLE,,
/SYSTEM,168,point one,NOT_AVAILABLE,,
/SYSTEM,169,point two,NOT_AVAILABLE,,
/SYSTEM,170,point three,NOT_AVAILABLE,,
/SYSTEM,171,point four,NOT_AVAILABLE,,
/SYSTEM,172,point five,NOT_AVAILABLE,,
/SYSTEM,173,point six,NOT_AVAILABLE,,
/SYSTEM,174,point seven,NOT_AVAILABLE,,
/SYSTEM,175,point eight,NOT_AVAILABLE,,
/SYSTEM,176,point nine,NOT_AVAILABLE,,
/SYSTEM,midtrim,trim center,Trimmzentrum,,
/SYSTEM,maxtrim,maximum trim reached,Erreichte das Maximum Trim,,
/SYSTEM,mintrim,minimum trim reached,Erreicht das Minimum Trim,,
/SYSTEM,timovr1,timer 1 elapsed,NOT_AVAILABLE,,
/SYSTEM,timovr2,timer 2 elapsed,NOT_AVAILABLE,,
/SYSTEM,timovr3,timer 3 elapsed,NOT_AVAILABLE,,
/SYSTEM,lowbatt,transmitter battery low,Senderbatterie niedrig,,
/SYSTEM,inactiv,inactivity alarm,Inaktivitätsalarm,,
/SYSTEM,thralert,throttle warning,Drosselwarnung,,
/SYSTEM,swalert,switch warning,NOT_AVAILABLE,,
/SYSTEM,eebad,bad eeprom,NOT_AVAILABLE,,
/SYSTEM,hello,Welcome to open tea ex!,NOT_AVAILABLE,,
/SYSTEM,rssi_org,RF signal, low,Funkfrequenzsignal niedrig,
/SYSTEM,rssi_red,RF signal, critical,Funkfrequenzsignal kritisch,
/SYSTEM,swr_red,radio antenna defective,Funkantenne defekt,,
/SYSTEM,telemko,telemetry lost,Telemetrie verloren,,
/SYSTEM,telemok,telemetry recovered,Telemetrie erholt sich,,
/SYSTEM,trainko,trainer signal lost,Trainer-Signal verloren,,
/SYSTEM,trainok,trainer signal recovered,Trainer-Signal erholt,,
/SYSTEM,sensorko,sensor lost,Sensor verloren,,
/SYSTEM,servoko,servo overload,Servo Überlast,,
/SYSTEM,rxko,power overload,Leistung Überlast,,
,gearup,gear!, up!,Fahrwerk eingezogen,
,geardn,gear!, down!,Fahrwerk ausgefahren,
,lnding,landing,Landung,,
,splrup,spoiler!, up!,Spoiler auf,
,splrdn,spoiler!, down!,Spoiler unten,
,trnon,trainer, awn,Trainer-Modus ein,
,trnoff,trainer, oghf,Trainer-Modus aus,
,engoff,engine, oghf,Motor aus,
,engon,engine, awn,Motor an,
,tohigh,too. high!,zu hoch,,
,tolow,too. low!,zu niedrig,,
,lowbat,low. battery!,Batterie schwach,,
,crowon,crow, awn,Butterfly ein,
,crowof,crow, oghf,Butterfly aus,
,siglow,rf. signal!, low!,Funkfrequenzsignal niedrig,
,sigcrt,rf. signal!, critical!,Funkfrequenzsignal kritisch,
,spdmod,high. speed. mode!, active,NOT_AVAILABLE,
,thmmod,thermal. mode!, awn,NOT_AVAILABLE,
,nrmmod,normal. mode!, awn,NOT_AVAILABLE,
,lnding,landing. mode!, awn,NOT_AVAILABLE,
,acro,acro. mode!, awn,NOT_AVAILABLE,
,fm-1,flight. mode!, one,Flugmodus 1,
,fm-2,flight. mode!, two,Flugmodus 2,
,fm-3,flight. mode!, three,Flugmodus 3,
,fm-4,flight. mode!, four,Flugmodus 4,
,fm-5,flight. mode!, five,Flugmodus 5,
,fm-6,flight. mode!, six,Flugmodus 6,
,fm-7,flight. mode!, seven,Flugmodus 7,
,fm-8,flight. mode!, eight,Flugmodus 8,
,fm-9,flight. mode!, nine,Flugmodus 9,
,vrion,vairio awn,NOT_AVAILABLE,,
,vrioff,vairio oghf,NOT_AVAILABLE,,
,fm-pwr,flight mode!, power,Modus Leistung,
,fm-lnd,flight mode!, land,Modus Landung,
,fm-flt,flight mode!, float,Modus schweben,
,fm-spd,flight mode!, speed,Geschwindigkeits-Modus ist aktiviert,
,fm-fst,flight mode!, fast,Modus schnell,
,fm-nrm,flight mode!, normal,Normal-Modus ist aktiviert,
